brand_name,generic_name,status,reason_for_shortage,update_date,initial_posting_date
LIDOCAINE HYDROCHLORIDE AND DEXTROSE,LIDOCAINE HYDROCHLORIDE,Current,,03/23/2026,10/25/2017
QUINAPRIL,QUINAPRIL,Current,,02/02/2026,01/19/2023
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/13/2026,02/22/2012
DELFLEX,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, SODIUM LACTATE, CALCIUM CHLORIDE, MAGNESIUM CHLORIDE",To Be Discontinued,,03/10/2026,03/10/2026
PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/27/2026,04/10/2020
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
TRACLEER,BOSENTAN,To Be Discontinued,,06/09/2025,06/09/2025
DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,Current,,03/16/2026,10/12/2022
QUINAPRIL,QUINAPRIL HYDROCHLORIDE,Current,,10/15/2025,01/19/2023
LIDOCAINE,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
NOXAFIL,POSACONAZOLE,To Be Discontinued,,12/02/2025,12/02/2025
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/18/2026,02/14/2022
METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,Current,,02/09/2026,12/15/2021
SENSORCAINE MPF,BUPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,02/20/2018
LINCOCIN,LINCOMYCIN HYDROCHLORIDE,To Be Discontinued,,02/25/2026,02/25/2026
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,03/23/2018
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/17/2026,11/01/2023
QUINAPRIL,QUINAPRIL,Current,,02/02/2026,01/19/2023
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,To Be Discontinued,,06/13/2025,06/13/2025
MIDAZOLAM,MIDAZOLAM HYDROCHLORIDE,Current,,03/13/2026,04/02/2020
CALCITRIOL,CALCITRIOL,To Be Discontinued,,12/04/2025,12/04/2025
XYLOCAINE MPF,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,03/02/2026,12/22/2020
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/18/2026,07/14/2023
QUINAPRIL,QUINAPRIL HYDROCHLORIDE,Current,,10/15/2025,01/19/2023
XYLOCAINE MPF,"LIDOCAINE HYDROCHLORIDE,EPINEPHRINE BITARTRATE",Current,,03/17/2026,10/14/2016
MORPHINE SULFATE,MORPHINE SULFATE,To Be Discontinued,,07/08/2025,07/08/2025
CARBOPLATIN,CARBOPLATIN,Current,,09/29/2025,04/28/2023
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
SODIUM CHLORIDE,SODIUM CHLORIDE,To Be Discontinued,,06/10/2025,06/10/2025
VYVANSE,LISDEXAMFETAMINE DIMESYLATE,Current,,01/09/2026,07/14/2023
RIFAMPIN,RIFAMPIN,Current,,03/05/2026,12/22/2021
FENTANYL CITRATE,FENTANYL CITRATE,Current,,03/13/2026,01/01/2012
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
CARBOPLATIN,CARBOPLATIN,Current,,03/13/2026,04/28/2023
HYRIMOZ,ADALIMUMAB-ADAZ,To Be Discontinued,,01/13/2026,01/13/2026
STERILE WATER,STERILE WATER FOR INJECTION,Current,,03/16/2026,11/23/2021
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/18/2026,07/14/2023
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,03/23/2018
FINASTERIDE,FINASTERIDE,To Be Discontinued,,08/19/2025,08/19/2025
NYAMYC,NYSTATIN,To Be Discontinued,,04/28/2025,04/28/2025
AMINOSYN II,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYLTYROSINE, AND GLYCINE",Current,,03/18/2026,12/08/2020
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/17/2026,07/14/2023
ATROPINE SULFATE,ATROPINE SULFATE,Current,,03/17/2026,01/01/2020
ATIVAN,LORAZEPAM,Current,,03/12/2026,09/05/2018
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,03/02/2026,12/22/2020
AIRDUO RESPICLICK,FLUTICASONE PROPIONATE AND SALMETEROL,To Be Discontinued,,06/13/2025,06/13/2025
OMEPRAZOLE,OMEPRAZOLE,To Be Discontinued,,10/09/2025,10/09/2025
CEFEPIME,CEFEPIME,To Be Discontinued,,02/10/2026,02/10/2026
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE,Current,,03/18/2026,07/14/2023
VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,To Be Discontinued,,09/09/2025,09/09/2025
DEMEROL,MEPERIDINE HYDROCHLORIDE,Current,,03/13/2026,05/30/2025
BACTERIOSTATIC WATER,BACTERIOSTATIC WATER,Current,,03/13/2026,12/03/2021
FUROSEMIDE,FUROSEMIDE,Current,,03/17/2026,04/07/2020
POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,To Be Discontinued,,05/19/2025,05/19/2025
CLINDAMYCIN IN 5 PERCENT DEXTROSE,CLINDAMYCIN IN 5 PERCENT DEXTROSE,Current,,03/19/2026,03/21/2023
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
BACLOFEN,BACLOFEN,To Be Discontinued,,04/23/2025,04/23/2025
,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,,03/16/2026,10/12/2022
AZACITIDINE,AZACITIDINE,Current,,08/19/2025,12/18/2020
GUANFACINE,GUANFACINE,To Be Discontinued,,11/13/2025,11/13/2025
KLOR-CON,POTASSIUM CHLORIDE,To Be Discontinued,,07/23/2025,07/23/2025
KLONOPIN,CLONAZEPAM,Current,,03/16/2026,03/10/2023
VYVANSE,LISDEXAMFETAMINE DIMESYLATE,Current,,01/09/2026,07/14/2023
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,03/18/2026,02/20/2018
METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/16/2026,07/26/2023
DEXMEDETOMIDINE,DEXMEDETOMIDINE,Current,,08/19/2025,04/10/2021
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE,Current,,02/09/2026,07/14/2023
BUMETANIDE,BUMETANIDE,To Be Discontinued,,05/02/2025,05/02/2025
FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,To Be Discontinued,,09/29/2025,09/29/2025
PHENOBARBITAL,PHENOBARBITAL,To Be Discontinued,,10/31/2025,10/31/2025
,Quinapril Hydrochloride Tablet,To Be Discontinued,,10/01/2025,10/01/2025
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,02/09/2026,04/10/2020
VYVANSE,LISDEXAMFETAMINE DIMESYLATE,Current,,01/09/2026,07/14/2023
MARCAINE WITH EPINEPHRINE,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,Current,,03/13/2026,02/20/2018
HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,To Be Discontinued,,04/07/2025,04/07/2025
PILOCARPINE HYDROCHLORIDE,PILOCARPINE HYDROCHLORIDE,To Be Discontinued,,09/19/2025,09/19/2025
RIFAMPIN,RIFAMPIN,Current,,03/02/2026,12/22/2021
DIVALPROEX SODIUM,DIVALPROEX SODIUM,To Be Discontinued,,04/28/2025,04/28/2025
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/18/2026,03/01/2022
METHOTREXATE,METHOTREXATE SODIUM,Current,,03/17/2026,03/13/2023
,Calcium Chloride Injection,To Be Discontinued,,11/07/2025,11/07/2025
CORLANOR,IVABRADINE,To Be Discontinued,,03/24/2026,03/24/2026
POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,To Be Discontinued,,11/21/2025,11/21/2025
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,11/13/2025,03/27/2018
DOBUTAMINE,DOBUTAMINE,Current,,03/13/2026,11/06/2017
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/18/2026,02/14/2022
RELEXXII,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/17/2026,07/26/2023
CLEOCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,Current,,03/27/2026,03/21/2023
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/24/2026,10/12/2022
,Quinapril Hydrochloride Tablet,Current,,03/02/2026,01/19/2023
STERILE WATER,STERILE WATER,Current,,01/07/2026,11/23/2021
DOXYLAMINE SUCCINATE AND PYRIDOXINE HYDROCHLORIDE,DOXYLAMINE SUCCINATE AND PYRIDOXINE HYDROCHLORIDE,To Be Discontinued,,01/12/2026,01/12/2026
DIVALPROEX SODIUM,DIVALPROEX SODIUM,To Be Discontinued,,04/28/2025,04/28/2025
MIDAZOLAM IN SODIUM CHLORIDE,MIDAZOLAM,Current,,03/02/2026,04/02/2020
CLINDAMYCIN IN 5 PERCENT DEXTROSE,CLINDAMYCIN IN 5 PERCENT DEXTROSE,Current,,03/19/2026,03/21/2023
EUTHYROX,LEVOTHYROXINE SODIUM,To Be Discontinued,,07/10/2025,07/10/2025
REMIFENTANIL HYDROCHLORIDE,REMIFENTANIL HYDROCHLORIDE,Current,,03/17/2026,06/28/2022
,Sufentanil Citrate Injection,Current,,03/12/2026,05/03/2022
ETOMIDATE,ETOMIDATE,Current,,03/02/2026,10/05/2022
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
MIDAZOLAM,MIDAZOLAM HYDROCHLORIDE,Current,,03/17/2026,04/02/2020
DESONIDE,DESONIDE,To Be Discontinued,,09/18/2025,09/18/2025
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/12/2026,06/13/2018
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,08/19/2025,03/23/2018
VIGPODER,VIGABATRIN,To Be Discontinued,,10/16/2025,10/16/2025
AMIDATE,ETOMIDATE,Current,,03/13/2026,10/05/2022
DOBUTAMINE,DOBUTAMINE,Current,,03/13/2026,11/06/2017
MORPHINE SULFATE,MORPHINE SULFATE,To Be Discontinued,,12/22/2025,12/22/2025
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,Current,,03/12/2026,02/08/2019
XYLOCAINE,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,03/18/2026,03/23/2018
BACLOFEN,BACLOFEN,To Be Discontinued,,04/23/2025,04/23/2025
FUROSEMIDE,FUROSEMIDE,Current,,03/17/2026,04/07/2020
OCELLA,DROSPIRENONE AND ETHINYL ESTRADIOL,To Be Discontinued,,06/13/2025,06/13/2025
,Nebivolol Hydrochloride Tablet,To Be Discontinued,,03/25/2026,03/25/2026
PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/27/2026,04/10/2020
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/18/2026,06/13/2018
STERILE WATER,WATER,Current,,03/13/2026,11/23/2021
BUMETANIDE,BUMETANIDE,To Be Discontinued,,05/02/2025,05/02/2025
SOLU-CORTEF,HYDROCORTISONE SODIUM SUCCINATE,Resolved,,02/24/2026,03/24/2023
ETOMIDATE,ETOMIDATE,Current,,03/02/2026,10/05/2022
,Pemetrexed Ditromethamine Injection,To Be Discontinued,,07/17/2025,07/17/2025
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/18/2026,03/01/2022
LIRAGLUTIDE,LIRAGLUTIDE,Current,,08/19/2025,07/18/2023
STERILE WATER,WATER,Current,,03/23/2026,04/28/2023
MARCAINE WITH EPINEPHRINE,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,Current,,03/13/2026,02/20/2018
DILAUDID,HYDROMORPHONE HYDROCHLORIDE,Current,,03/17/2026,11/01/2017
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/17/2026,08/15/2023
PHENOBARBITAL,PHENOBARBITAL,To Be Discontinued,,10/31/2025,10/31/2025
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/23/2026,02/14/2022
AZACITIDINE,AZACITIDINE,Current,,03/17/2026,12/21/2020
CLEOCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,Current,,03/13/2026,03/21/2023
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Current,,03/12/2026,06/06/2018
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
FUROSEMIDE,FUROSEMIDE,Current,,03/18/2026,04/07/2020
VUITY,PILOCARPINE HYDROCHLORIDE,To Be Discontinued,,03/24/2026,03/24/2026
,Docetaxel Injection,To Be Discontinued,,02/20/2026,02/20/2026
BUMETANIDE,BUMETANIDE,Current,,02/03/2026,12/13/2017
CLINDAMYCIN IN 5 PERCENT DEXTROSE,CLINDAMYCIN IN 5 PERCENT DEXTROSE,Current,,03/19/2026,03/21/2023
LACTATED RINGERS,"SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE",Resolved,,10/03/2025,10/11/2024
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/12/2026,07/14/2023
SOLU-CORTEF,HYDROCORTISONE SODIUM SUCCINATE,Resolved,,02/24/2026,03/24/2023
PHENERGAN,PROMETHAZINE HYDROCHLORIDE,Current,,03/12/2026,11/21/2023
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,02/20/2018
CLONAZEPAM,CLONAZEPAM,Current,,01/05/2026,03/10/2023
EUTHYROX,LEVOTHYROXINE SODIUM,To Be Discontinued,,07/10/2025,07/10/2025
,Methotrexate Injection,To Be Discontinued,,08/29/2025,08/29/2025
DILAUDID,HYDROMORPHONE HYDROCHLORIDE,Current,,03/17/2026,10/31/2017
QUINAPRIL,QUINAPRIL,Current,,11/05/2025,01/19/2023
DOPAMINE HYDROCHLORIDE IN DEXTROSE,DOPAMINE HYDROCHLORIDE IN DEXTROSE,To Be Discontinued,,08/27/2025,08/27/2025
SENSORCAINE,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,Current,,03/17/2026,02/20/2018
DESONIDE,DESONIDE,To Be Discontinued,,09/18/2025,09/18/2025
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/13/2026,02/22/2012
CONCERTA,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/17/2026,07/26/2023
HUMALOG TEMPO PEN,INSULIN LISPRO,To Be Discontinued,,10/24/2025,10/24/2025
REMIFENTANIL HYDROCHLORIDE,REMIFENTANIL HYDROCHLORIDE,Current,,03/12/2026,06/28/2022
ZEPATIER,ELBASVIR AND GRAZOPREVIR,To Be Discontinued,,10/17/2025,10/17/2025
PREVALITE,CHOLESTYRAMINE,To Be Discontinued,,05/14/2025,05/14/2025
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,Current,,03/17/2026,02/08/2019
LIDOCAINE,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
DEPO-MEDROL,METHYLPREDNISOLONE ACETATE,Current,,03/27/2026,12/15/2021
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Current,,03/12/2026,06/06/2018
ROCURONIUM BROMIDE,ROCURONIUM BROMIDE,Current,,03/18/2026,02/15/2023
ETOMIDATE,ETOMIDATE,Current,,03/12/2026,10/05/2022
CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,Current,,03/23/2026,03/21/2023
PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/27/2026,04/10/2020
MIDAZOLAM IN SODIUM CHLORIDE,MIDAZOLAM,Current,,03/02/2026,04/02/2020
DEXTROSE IN LACTATED RINGERS,"DEXTROSE, SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE",Resolved,,10/03/2025,10/11/2024
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,08/19/2025,03/23/2018
EZETIMIBE,EZETIMIBE,To Be Discontinued,,06/27/2025,06/27/2025
DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,To Be Discontinued,,08/12/2025,08/12/2025
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/18/2026,03/01/2022
SINGULAIR,MONTELUKAST SODIUM,To Be Discontinued,,11/17/2025,11/17/2025
,Levothyroxine Sodium Tablet,To Be Discontinued,,07/10/2025,07/10/2025
,Atropine Sulfate Injection,Current,,03/13/2026,01/01/2012
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,Current,,03/18/2026,02/08/2019
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/23/2026,02/14/2022
MORPHINE SULFATE,MORPHINE SULFATE,Current,,03/17/2026,10/31/2017
XYLOCAINE,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
ALDACTONE,SPIRONOLACTONE,To Be Discontinued,,12/10/2025,12/10/2025
FUROSEMIDE,FUROSEMIDE,Current,,03/23/2026,04/07/2020
PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/27/2026,04/10/2020
,Docetaxel Injection,To Be Discontinued,,02/20/2026,02/20/2026
NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,Resolved,,02/11/2026,02/29/2024
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/17/2026,07/14/2023
URSODIOL,URSODIOL,To Be Discontinued,,03/28/2025,03/28/2025
LOPID,GEMFIBROZIL,To Be Discontinued,,02/10/2026,02/10/2026
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,To Be Discontinued,,05/14/2025,05/14/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/17/2026,07/14/2023
AZACITIDINE,AZACITIDINE,Current,,03/12/2026,12/18/2020
HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,To Be Discontinued,,01/05/2026,01/05/2026
,Acetaminophen; Oxycodone Hydrochloride Tablet,To Be Discontinued,,11/03/2025,11/03/2025
PHOSPHOLINE IODIDE,ECHOTHIOPHATE IODIDE FOR OPHTHALMIC SOLUTION,Current,,09/17/2025,09/24/2019
PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,To Be Discontinued,,06/13/2025,06/13/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
ENDOCET,OXYCODONE AND ACETAMINOPHEN,To Be Discontinued,,11/03/2025,11/03/2025
IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,To Be Discontinued,,09/26/2025,09/26/2025
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/17/2026,02/14/2022
ETOMIDATE,ETOMIDATE,Current,,03/12/2026,10/05/2022
ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,To Be Discontinued,,02/24/2026,02/24/2026
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE CAPSULES,Current,,11/05/2025,07/14/2023
BUMETANIDE,BUMETANIDE,Current,,02/03/2026,12/13/2017
REYVOW,LASMIDITAN,To Be Discontinued,,11/03/2025,11/03/2025
DOBUTAMINE HYDROCHLORIDE IN DEXTROSE,DOBUTAMINE HYDROCHLORIDE,Current,,03/23/2026,11/06/2017
EZETIMIBE,EZETIMIBE,To Be Discontinued,,06/27/2025,06/27/2025
REMIFENTANIL HYDROCHLORIDE,REMIFENTANIL HYDROCHLORIDE,Current,,03/12/2026,06/28/2022
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,02/03/2026,07/14/2023
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,03/13/2026,02/20/2018
,Lidocaine Hydrochloride Injection,Current,,08/19/2025,02/22/2012
DOPAMINE HYDROCHLORIDE AND DEXTROSE,DOPAMINE HYDROCHLORIDE,Current,,03/23/2026,11/06/2017
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
ROCURONIUM,ROCURONIUM BROMIDE,Current,,03/17/2026,02/15/2023
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,03/18/2026,02/20/2018
XYLOCAINE MPF,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
FUROSEMIDE,FUROSEMIDE,Current,,03/18/2026,04/07/2020
ROCURONIUM BROMIDE,ROCURONIUM BROMIDE,Current,,03/19/2026,02/15/2023
METHYLPHENIDATE TRANSDERMAL SYSTEM,METHYLPHENIDATE,Current,,12/18/2025,02/28/2025
CELECOXIB,CELECOXIB,To Be Discontinued,,08/15/2025,08/15/2025
,Lidocaine Hydrochloride Injection,To Be Discontinued,,11/07/2025,11/07/2025
ETOMIDATE,ETOMIDATE,Current,,03/12/2026,10/05/2022
GEMCITABINE,GEMCITABINE,To Be Discontinued,,09/11/2025,09/11/2025
NAROPIN,ROPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,03/23/2018
,Midazolam Hydrochloride Injection,Current,,09/29/2025,04/02/2020
CLONAZEPAM,CLONAZEPAM,Current,,03/16/2026,03/10/2023
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE, AMPHETAMINE SULFATE TABLETS,CII","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE, AMPHETAMINE SULFATE TABLETS, 10 MG,CLL",Current,,03/17/2026,10/12/2022
EVEROLIMUS,EVEROLIMUS,To Be Discontinued,,01/06/2026,01/06/2026
HYDROXOCOBALAMIN,HYDROXOCOBALAMIN,Current,,03/16/2026,11/04/2024
NAROPIN,ROPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,03/23/2018
MORPHINE SULFATE,MORPHINE SULFATE,Current,,03/13/2026,10/31/2017
DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,To Be Discontinued,,08/12/2025,08/12/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,12/15/2025,07/14/2023
FUROSEMIDE,FUROSEMIDE,Current,,09/29/2025,04/07/2020
LYUMJEV TEMPO PEN,INSULIN LISPRO-AABC,To Be Discontinued,,10/24/2025,10/24/2025
SODIUM BICARBONATE,SODIUM BICARBONATE,Current,,03/16/2026,07/24/2017
,Nebivolol Hydrochloride Tablet,To Be Discontinued,,03/25/2026,03/25/2026
LOTREL,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,To Be Discontinued,,06/24/2025,06/24/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
FUROSEMIDE,FUROSEMIDE,Current,,03/16/2026,04/07/2020
REYVOW,LASMIDITAN,To Be Discontinued,,11/03/2025,11/03/2025
SODIUM BICARBONATE,"SODIUM BICARBONATE INJECTION,",Current,,01/05/2026,03/01/2017
NILANDRON,NILUTAMIDE,To Be Discontinued,,12/01/2025,12/01/2025
